Tweets,Label
ตอนนี้มีไฟไหม้ที่โกดังเก็บฟางในตำบลพุกร่าง อำเภอพระพุทธบาท จังหวัดสระบุรี , fire 
เกิดแผ่นดินไหวขนาดเล็กในพื้นที่จังหวัดแพร่ , earthquake 
มีเหตุการณ์กราดยิงเกิดขึ้นที่ห้างสรรพสินค้าพารากอน , shooting 
ไฟไหม้โรงงานกิ่งแก้วในจังหวัดสมุทรปราการ , fire 
เกิดแผ่นดินไหวขนาดใหญ่เขย่าจังหวัดเชียงใหม่และแพร่ , earthquake 
เกิดเหตุการณ์กราดยิงในพื้นที่อำเภอสายบุรี จังหวัดปัตตานี , shooting 
ไฟไหม้บริเวณโรงงานในจังหวัดพระนครศรีอยุธยา , fire 
เกิดแผ่นดินไหวขนาดเล็กในพื้นที่จังหวัดพะเยา , earthquake 
มีเหตุการณ์กราดยิงเกิดขึ้นที่ร้านสะดวกซื้อในจังหวัดสงขลา , shooting 
ไฟไหม้ป่าในเขตอุทยานแห่งชาติเขาใหญ่ จังหวัดนครราชสีมา , fire 
เกิดแผ่นดินไหวในพื้นที่ทะเลอันดามัน ฝั่งจังหวัดภูเก็ต , earthquake 
เกิดเหตุกราดยิงในพื้นที่จังหวัดยะลา , shooting 
ไฟไหม้บ้านเรือนประชาชนในชุมชนแออัดแห่งหนึ่งในกรุงเทพมหานคร , fire 
แผ่นดินไหวขนาดใหญ่เขย่าพื้นที่ชายแดนไทย-ลาว , earthquake 
มีเหตุการณ์กราดยิงเกิดขึ้นที่ศาลประจำจังหวัดนครสวรรค์ , shooting 
โรงงานผลิตอาหารในจังหวัดลำพูนเกิดไฟไหม้ , fire 
แผ่นดินไหวขนาดเล็กในพื้นที่จังหวัดสุโขทัย , earthquake 
มีเหตุการณ์กราดยิงเกิดขึ้นในห้างสรรพสินค้าเซ็นทรัลเฟสติวัล เชียงใหม่ , shooting 
ไฟไหม้เรือประมงในพื้นที่จังหวัดชลบุรี , fire 
เกิดแผ่นดินไหวขนาดเล็กในพื้นที่จังหวัดแม่ฮ่องสอน , earthquake 
มีเหตุการณ์กราดยิงเกิดขึ้นในพื้นที่จังหวัดนราธิวาส , shooting 
โกดังเก็บสินค้าในจังหวัดสมุทรปราการเกิดไฟไหม้ , fire 
เกิดแผ่นดินไหวขนาดกลางในพื้นที่จังหวัดกำแพงเพชร , earthquake 
มีเหตุการณ์กราดยิงเกิดขึ้นในโรงเรียนแห่งหนึ่งในจังหวัดนครศรีธรรมราช , shooting 
ไฟไหม้โรงงานผลิตเคมีภัณฑ์ในจังหวัดชลบุรี , fire 
เกิดแผ่นดินไหว規模ใหญ่ในพื้นที่จังหวัดเชียงราย , earthquake 
มีเหตุการณ์กราดยิงเกิดขึ้นในพื้นที่จังหวัดปัตตานี , shooting 
